Name,RA,Dec,Alt Name,Type,Magnitude,Info,Catalog
NGC   7139,326.475,63.65,PK 104+7.1,Planetary Nebula,,1.3,NGC
NGC   7140,328.075,-55.56666667,NGC 7141,Galaxy,,,NGC
NGC   7141,328.05,-55.56666667,NGC 7140,Galaxy,,,NGC
NGC   7142,326.475,65.8,OCL 241,Open Cluster,9.3,4,NGC
NGC   7143,327.225,29.95,,Double Star,,,NGC
NGC   7144,328.175,-48.25,ESO 237-11,Galaxy,10.7,3.5,NGC
NGC   7145,328.325,-47.88333333,ESO 237-13,Galaxy,11.2,2.5,NGC
NGC   7146,327.95,3.016666667,MCG 0-55-24,Galaxy,15,,NGC
NGC   7147,328,3.066666667,MCG 0-55-25,Galaxy,15,,NGC
NGC   7148,328.025,3.333333333,,Double Star,,,NGC
NGC   7149,328.05,3.3,UGC 11835,Galaxy,14,,NGC
NGC   7150,327.6,49.75,,Asterism,,,NGC
NGC   7151,328.75,-50.66666667,ESO 237-15,Galaxy,,,NGC
NGC   7152,328.475,-29.26666667,ESO 466-13,Galaxy,14,,NGC
NGC   7153,328.6,-29.03333333,ESO 466-16,Galaxy,14,,NGC
NGC   7154,328.85,-34.81666667,ESO 404-8,Galaxy,,1.3,NGC
NGC   7155,329.05,-49.53333333,IC 5143,Galaxy,13,1.9,NGC
NGC   7156,328.65,2.95,UGC 11843,Galaxy,13,1.7,NGC
NGC   7157,329.2,-25.38333333,ESO 532-3,Galaxy,14,,NGC
NGC   7158,329.35,-11.6,,Triple Star,,,NGC
NGC   7159,329.1,13.56666667,ZWG 428. 3,Galaxy,15,,NGC
